paper	date	headline
Missoulian	2016-03-09	Sharapova Not the First to Use Performance-Enhancing Drug
Missoulian	2016-03-09	Sheriff's Office names man killed in Joliet in gunfire exchange with deputies
Missoulian	2016-03-09	State AA boys' basketball: Hellgate gets another bite of Bison in first round
Missoulian	2016-03-09	State B boys' basketball: Bigfork ready to make another run
Missoulian	2016-03-09	Tai Chi Could Be a Healthy Move for Your Heart
Missoulian	2016-03-09	Transplant From Incompatible Living Donor Boosts Kidney Patients' Survival
Missoulian	2016-03-09	U.S. Cancer Death Rate Continues to Fall
Missoulian	2016-03-09	U.S. Pediatricians to Add Poverty to Well-Visit Checklist
Missoulian	2016-03-09	Vodka from the Wild West promises a smooth ride
Missoulian	2016-03-09	Washington plans for Colstrip's closure, but stops short of ordering it
Missoulian	2016-03-09	With Early Breast Cancer, Targeted Radiation Shows Promise
Missoulian	2016-03-09	Woman Who Had 1st U.S. Uterus Transplant Loses the Organ Due to Complication
Missoulian	2016-03-09	Another Neurological Disorder Tied to Zika
Missoulian	2016-03-09	Late comeback not enough for Lady Griz
Missoulian	2016-03-09	Tournament championship key to DeCuire's vision
Missoulian	2016-03-16	Coach Selvig reflects on 31st 20-win season, job that keeps on giving
Missoulian	2016-03-16	Nevada erases halftime deficit, ends Grizzlies' season
Missoulian	2016-03-16	'Stuttering comedian' Nina G to give performance, 'Going Beyond Inspirational'
Missoulian	2016-03-16	2016 March Madness tournament South regional rounds
Missoulian	2016-03-16	A Healthy Heart May Protect an Aging Brain
Missoulian	2016-03-16	Alcohol Abuse Common Among Med Students, Study Finds
Missoulian	2016-03-16	An Expert's Guide to Sneezin' Season
Missoulian	2016-03-16	Antibiotic Resistance Common in Kids' Urinary Tract Infections
Missoulian	2016-03-16	Astrology
